Dia ternganga. 	 دي ترڠاڠا.
Tuha muncul secara mengejut dalam keadaan tangannya telah memanjang untuk merodok Taming Sari, tetapi hanya menjamah angin. 	 توها مونچول سچارا مڠجوت دالم كأداءن تاڠنڽ تله ممنجڠ اونتوق مرودوق تاميڠ ساري، تتاڤي هاڽ منجامه اڠين.
Belum sempat pun dia bertindak balas, Nirnama sudah menangkap tangan Tuha, dan membanting tubuh kakandanya itu. 	 بلوم سمڤت ڤون دي برتيندق بالس، نيرنام سوده منڠكڤ تاڠن توها، دان ممبنتيڠ توبوه ككنداڽ ايت.
Bumi bergegar dengan hentaman tubuh Tuha. 	 بومي برڬڬر دڠن هنتامن توبوه توها.
Tanah di bawah tubuhnya merekah. 	 تانه دباوه توبوهڽ مركه.
Nirnama belum mahu menamatkan serangan. 	 نيرنام بلوم ماهو منمتكن سرڠن.
Terus kakinya menyepak Taming Sari sehingga tercampak ke tepi, sebelum kaki yang sama menginjak dada Tuha. 	 تروس كاكيڽ مڽڤق تاميڠ ساري سهيڠݢ ترچمڤق كتڤي، سبلوم كاكي يڠ سام مڠينجق دادا توها.
Laksamana Utama Semutar Putih itu terbelalak sambil menghamburkan darah, tambah membasahi seluar Nirnama. 	 لقسامان اوتام سموتر ڤوتيه ايت تربلالق سمبيل مڠهمبوركن داره، تمبه ممباسهي سلوار نيرنام.
Rekahan tanah tadi menjadi semakin besar dan menjalar. 	 ركهن تانه تادي منجادي سماكين بسر دان منجالار.
Aku masih membuka peluang untuk kakanda bertaubat. 	 اكو ماسيه ممبوک ڤلواڠ اونتوق ككندا برتوبة.
Sekarang adalah masanya, Kakanda Tuha. 	 سكارڠ اداله ماسڽ، ككندا توها.
Nirnama tidak meneruskan serangan. 	 نيرنام تيدق منروسكن سرڠن.
Tetapi kakinya masih berada di atas dada Tuha, manakala tangannya masih mengilas tangan kanan Tuha. 	 تتاڤي كاكيڽ ماسيه براد دأتس دادا توها، مانكالا تاڠنڽ ماسيه مڠيلس تاڠن كانن توها.
Tuha kelihatan tidak bermaya. 	 توها كليهتن تيدق برماي.
Wajahnya sudah kotor dengan darah. 	 واجهڽ سوده كوتور دڠن داره.
Engkau. 	 اڠكاو.
Nirnama memasang telinga, bagai memberi peluang kepada Tuha menyempurnakan bicara. 	 نيرنام مماسڠ تليڠا، باڬاي ممبري ڤلواڠ كڤد توها مڽمڤورناكن بيچارا.
Takkan menewaskan aku!  Tuha menghembus ke atas, mengeluarkan semburan api marak. 	 تقكن منوسكن اكو!  توها مڠهمبوس كأتس، مڠلواركن سمبورن اڤي مارق.
Nirnama melepaskan tangan dan dada Tuha, melompat mengelak. 	 نيرنام ملڤسكن تاڠن دان دادا توها، ملومڤت مڠيلق.
Tuha berguling, kemudian bangkit sambil melepaskan beberapa bola api ke arah Nirnama. 	 توها برڬوليڠ، كمودين بڠكيت سمبيل ملڤسكن ببراڤ بولا اڤي كأره نيرنام.
Membuatkan Nirnama terpaksa terus melompat. 	 ممبواتكن نيرنام ترڤقسا تروس ملومڤت.
Kemudian, Tuha berhenti. 	 كمودين، توها برهنتي.
Dadanya turun naik. 	 داداڽ تورون ناءيق.
Nafasnya tidak sekata. 	 نفسڽ تيدق سكتا.
Perlahan-lahan dia mencapai keris Taming Sari di sisinya. 	 ڤرلاهن-لاهن دي منچاڤاي كريس تاميڠ ساري دسيسيڽ.
Nirnama dan Tuha sama-sama berdiri. 	 نيرنام دان توها سام٢ برديري.
Nampaknya engkau benar-benar tidak akan kembali, kakanda. 	 نمڤقڽ اڠكاو بنر٢ تيدق اكن كمبالي، ككندا.
Pandanganku telah terbuka. 	 ڤندڠنكو تله تربوک.
Mustahil aku mahu menjadi sebahagian daripada orang-orang yang tertutup matanya. 	 مستحيل اكو ماهو منجادي سبهاڬين درڤد اورڠ٢ يڠ ترتوتوڤ ماتڽ.
Bahkan pandangan kakandalah yang dikatup kebatilan. 	 بهكن ڤندڠن ككنداله يڠ دكاتوڤ كبطيلن.
Sudah. 	 سوده.
Jangan banyak bicara lagi. 	 جاڠن باڽق بيچارا لاڬي.
Masanya untuk engkau mampus. 	 ماسڽ اونتوق اڠكاو ممڤوس.
Baru sahaja Tuha hendak membuka langkah, tindakannya terhenti dek bau harum semerbak. 	 بارو سهاج  توها هندق ممبوك لڠكه، تيندقنڽ ترهنتي ديك باءو هاروم سمربق.
Bau yang sama turut dihidu oleh Nirnama. 	 باءو يڠ سام توروت دهيدو اوليه نيرنام.
Sekonyong-konyong kemudian, muncul Puteri Gunung Ledang di sisi Tuha. 	 سكوڽوڠ-كوڽوڠ كمودين، مونچول ڤوتري ڬونوڠ ليدڠ دسيسي توها.
Adinda! Tuha sendiri terkejut. 	 اديندا! توها سنديري تركجوت.
Aku mengesan engkau dalam keadaan tertekan, kakanda. 	 اكو مڠسن اڠكاو دالم كأداءن ترتكان، ككندا.
Tangan Puteri Gunung Ledang mengelus wajah Tuha. 	 تاڠن ڤوتري ڬونوڠ ليدڠ مڠلوس واجه توها.
Hah, usah adinda gusar. 	 هاه، اوسه اديندا ڬوسر.
Tidak perlu sebenarnya adinda turun membantu. 	 تيدق ڤرلو سبنرڽ اديندا تورون ممبنتو.
Kakanda mampu menghapuskan dia tidak lama lagi. 	 ككندا ممڤو مڠهاڤوسكن دي تيدق لاما لاڬي.
Tuha memegang tangan Puteri Gunung Ledang itu, dan mengucup belakang tangannya itu dengan penuh rasa kasih. 	 توها ممڬڠ تاڠن ڤوتري ڬونوڠ ليدڠ ايت، دان مڠوچوڤ بلاكڠ تاڠنڽ ايت دڠن ڤنوه راس كاسيه.
Nirnama memerhati sahaja. 	 نيرنام ممرهاتي سهاج.
Jelas, hubungan antara Tuha dan Puteri Gunung Ledang bukanlah baru terbina. 	 جلس، هوبوڠن انتارا توها دان ڤوتري ڬونوڠ ليدڠ بوكنله بارو تربينا.
Berdasarkan sihir yang baru diperhatikannya, dia lebih yakin bahawa mimpi-mimpi Sultan Mahmud tidak mustahil datangnya daripada Puteri Gunung Ledang. 	 برداسركن سيحير يڠ بارو دڤرهاتيكنڽ، دي لبيه يقين بهاوا ميمڤي٢ سلطان محمود تيدق مستحيل داتڠڽ درڤد ڤوتري ڬونوڠ ليدڠ.
Apatah lagi apabila Tuha sudah berada di dalam genggaman sang puteri tersebut. 	 اڤاته لاڬي اڤابيلا توها سوده براد ددالم ڬڠڬمن سڠ ڤوتري ترسبوت.
Kita sudah semakin hampir mencapai matlamat kita. 	 كيت سوده سماكين همڤير منچاڤاي متلامت كيت.
Tentera Indera Kayangan bersama Segenting Kra sudah memulakan peperangan. 	 تنترا ايندرا كايڠن برسام سڬنتيڠ كرا سوده ممولاكن ڤڤرڠن.
Sempadan telah bergegar. 	 سمڤادن تله برڬڬر.
Sedikit masa lagi, Semutar Putih bakal tumbang. 	 سديكيت ماس لاڬي، سموتر ڤوتيه باكل تومبڠ.
Ujar Puteri Gunung Ledang. 	 اوجر ڤوتري ڬونوڠ ليدڠ.
Yakin. 	 يقين.
Nirnama menghela nafas. 	 نيرنام مڠهيلا نفس.
Dia sedar bahawa tidak boleh berlama-lama di sini. 	 دي سدر بهاوا تيدق بوليه برلاما-لاما دسيني.
Mereka yang berada di sempadan Semutar Putih memerlukannya. 	 مريک يڠ براد دسمڤادن سموتر ڤوتيه ممرلوكنڽ.
Terus dia terbayangkan wajah Tun Nirmala, Jebat, Kasturi, Nadim, dan Cendana. 	 تروس دي تربايڠكن واجه تون نيرمالا، جبت، كستوري، نديم، دان چندانا.
Ah, Cendana!  Pantas Nirnama mengungkapkan istighfar. 	 اه، چندانا!  ڤانتس نيرنام مڠوڠكڤكن إستغفر.
Berhadapan dengan musuh seperti Tuha dan Puteri Gunung Ledang, dia tidak boleh hilang tumpuan. 	 برهادڤن دڠن موسوه سڤرتي توها دان ڤوتري ڬونوڠ ليدڠ، دي تيدق بوليه هيلڠ تومڤوان.
Kedua-duanya memandang Nirnama. 	 كدوا-دواڽ ممندڠ نيرنام.
Pandangan redup Nirnama ditentang oleh pandangan tajam bersama senyuman melebar. 	 ڤندڠن ردوڤ نيرنام دتنتڠ اوليه ڤندڠن تاجم برسام سڽومن مليبر.
Jelas, dengan kehadiran Puteri Gunung Ledang, Tuha lebih yakin bahawa Nirnama akan ditewaskan. 	 جلس، دڠن كحاضيرن ڤوتري ڬونوڠ ليدڠ، توها لبيه يقين بهاوا نيرنام اكن دتيواسكن.
Bagaimana sekarang, Nirnama? Engkau yakin dapat menewaskan kami berdua?  Tuha mengalun-alunkan Taming Sari sementara Puteri Gunung Ledang bersiaga. 	 باڬايمان سكارڠ، نيرنام؟ اڠكاو يقين داڤت منوسكن كامي بردوا؟  توها مڠالون-ألونكن تاميڠ ساري سمنتارا ڤوتري ڬونوڠ ليدڠ برسياݢ.
Walau tidak terpamer apa-apa senjata, Nirnama yakin Puteri Gunung Ledang tetap berbahaya. 	 والاو تيدق ترڤامير اڤ٢ سنجات، نيرنام يقين ڤوتري ڬونوڠ ليدڠ تتڤ بربهاي.
Berkemungkinan mempunyai senjata tersembunyi, dan yang pasti, bersama-sama puteri itu adalah sihir. 	 بركموڠكينن ممڤوڽاءي سنجات ترسمبوڽي، دان يڠ ڤستي، برساما-سام ڤوتري ايت اداله سيحير.
Keyakinanku tidak tergugah, kerana aku tidak menggantungkan diri kepada kekuatanku. 	 كيقيننكو تيدق ترڬوڬه، كران اكو تيدق مڠڬنتوڠكن ديري كڤد كقواتنكو.
Aku menggantungkan diri kepada Allah. 	 اكو مڠڬنتوڠكن ديري كڤد الله.
Sudah berapa banyak bilangan yang sedikit menewaskan bilangan yang banyak?  Tuha mengetap geraham. 	 سوده براڤ باڽق بيلڠن يڠ سديكيت منوسكن بيلڠن يڠ باڽق؟  توها مڠتڤ ڬراهم.
Ayuh, adinda. 	 ايوه، اديندا.
Kita hapuskan celaka ini. 	 كيت هاڤوسكن چلاکا اين.
Ayuh!   Engkau ingin merampas takhtaku, kakanda? Sultan Mahmud menepuk singgahsana. 	 ايوه!    اڠكاو ايڠين مرمڤس تختاكو، ككندا؟ سلطان محمود منڤوق سيڠڬهسان.
Alauddin menggeleng. 	 علاءالدين مڠڬيليڠ.
Itu bukan takhtamu. 	 ايت بوكن تختامو.
Engkau hanya berkuasa sepanjang ketiadaanku. 	 اڠكاو هاڽ بركواس سڤنجڠ كتياداءنكو.
Apakah engkau telah lupa pertabalanmu? Ayahanda pasti mengungkapkannya secara jelas. 	 اڤاكه اڠكاو تله لوڤا ڤرطبلنمو؟ ايهندا ڤستي مڠوڠكڤكنڽ سچارا جلس.
Kelu lidah Sultan Mahmud. 	 كلو ليده سلطان محمود.
Dia menoleh ke kiri dan kanan. 	 دي منوليه ككيري دان كانن.
Hulubalang-hulubalang di situ tidak mampu menafikannya kerana apa yang dinyatakan oleh Alauddin itu adalah kebenaran. 	 هولوبالڠ٢ دسيتو تيدق ممڤو منافيكنڽ كران اڤ يڠ دڽاتاكن اوليه علاءالدين ايت اداله كبنرن.
Semua yang hadir pada hari pertabalan Sultan Mahmud mengetahui bahawa hakikatnya Sultan Mahmud hanyalah pemangku sultan. 	 سموا يڠ حاضير ڤد هاري ڤرطبلن سلطان محمود مڠتاهوءي بهاوا حقيقتڽ سلطان محمود هاڽله ڤمڠكو سلطان.
Hak kesultanan yang sebenar adalah kepada Alauddin. 	 حق كسلطانن يڠ سبنر اداله كڤد علاءالدين.
Selagi Alauddin tidak pulang menaiki takhta, maka Sultan Mahmud akan memegang tampuk kekuasaan tersebut. 	 سلاڬي علاءالدين تيدق ڤولڠ مناءيقي تختا، مک سلطان محمود اكن ممڬڠ تمڤوق ككواساءن ترسبوت.
Tetapi kini. 	 تتاڤي كيني.
Bukankah engkau tidak mahukan takhta ini. 	 بوكنكه اڠكاو تيدق ماهوكن تختا اين.
Bukankah engkau mahu menjadi seorang sufi!   Bergema balai menghadap dengan teriakan Sultan Mahmud. 	 بوكنكه اڠكاو ماهو منجادي سأورڠ صوفي!  برڬما بالاي مڠهادڤ دڠن تيرياكن سلطان محمود.
Alauddin mengangguk. 	 علاءالدين مڠڠڬوق.
Benar. 	 بنر.
Aku dikaburi impian yang hakikatnya merupakan suatu kesesatan. 	 اكو دكابوري ايمڤين يڠ حقيقتڽ مروڤاكن سواتو كسستن.
Nirnama telah menyedarkan aku. 	 نيرنام تله مڽدركن اكو.
Jadi, kelananya baru-baru ini adalah untuk menjatuhkan aku. 	 جادي، كلناڽ بارو٢ اين اداله اونتوق منجاتوهكن اكو.
Celaka, Nirnama. 	 چلاک، نيرنام.
Derhaka!  Adiwaja menggeleng. 	 درهاک!  اديواج مڠڬيليڠ.
Tuanku Mahmud, Nirnama berusaha menyelamatkan Kerajaan Semutar Putih. 	 توانكو محمود، نيرنام براوسها مڽلامتكن كراجاءن سموتر ڤوتيه.
Engkau bukan dijatuhkan. 	 اڠكاو بوكن دجاتوهكن.
Hanya Raja Yang Sebenar kembali ke takhta. 	 هاڽ راج يڠ سبنر كمبالي كتختا.
Tugas tuanku memangku jawatan ini telah pun berakhir. 	 توڬس توانكو ممڠكو جاوتن اين تله ڤون برأخير.
Tidak. 	 تيدق.
Aku tidak boleh terima hakikat ini. 	 اكو تيدق بوليه تريما حقيقة اين.
Engkau meninggalkan istana lebih tiga dekad, kakanda. 	 اڠكاو منيڠڬلكن ايستان لبيه تيݢ ديكد، ككندا.
Aku telah memerintah hampir dua dekad. 	 اكو تله ممرينته همڤير دوا ديكد.
Engkau tidak boleh sesuka hati sahaja merampas semua ini daripadaku. 	 اڠكاو تيدق بوليه سسوک هاتي سهاج مرمڤس سموا اين درڤدكو.
Aku bukan merampas apa-apa daripadamu, Adinda Mahmud. 	 اكو بوكن مرمڤس اڤ٢ درڤدمو، اديندا محمود.
Aku sekadar meminta engkau memulangkan hak aku. 	 اكو سقدر ممينتا اڠكاو ممولڠكن حق اكو.
Hak engkau? Mengapa pula engkau berhak kepada takhta ini? Engkau telah berpaling daripada semua ini. 	 حق اڠكاو؟ مڠاڤ ڤولا اڠكاو برحق كڤد تختا اين؟ اڠكاو تله برڤاليڠ درڤد سموا اين.
Menganggap ini semua gangguan kepada perjalanan engkau menggapai maqam tertinggi. 	 مڠڠڬڤ اين سموا ڬڠڬوان كڤد ڤرجالنن اڠكاو مڠڬاڤاي مقام ترتيڠڬي.
Engkau memandang rendah kepada kami yang berurusan dengan dunia. 	 اڠكاو ممندڠ رنده كڤد كامي يڠ براوروسن دڠن دنيا.
Aku telah menanggung tanggungjawab ini di atas jemalaku. 	 اكو تله منڠڬوڠ تڠݢوڠجواب اين دأتس جمالاكو.
Semutar Putih masih berdiri sehingga hari ini kerana aku!  Balai menghadap itu senyap buat beberapa ketika. 	 سموتر ڤوتيه ماسيه برديري سهيڠݢ هاري اين كران اكو!  بالاي مڠهادڤ ايت سڽڤ بوات ببراڤ كتيک.
Ayahanda sentiasa pilih kasih. 	 ايهندا سنتياس ڤيليه كاسيه.
Engkau dihantar bertapa dengan guru yang terbaik, untuk menjadi insan yang hebat. 	 اڠكاو دهنتر برتاڤ دڠن ڬورو يڠ ترباءيق، اونتوق منجادي انسان يڠ هيبت.
Adapun aku, ayahanda tidak pun memberikan peluang yang sama. 	 اداڤون اكو، ايهندا تيدق ڤون ممبريكن ڤلواڠ يڠ سام.
Sampai ke penghujung usianya, dia masih menyebut-nyebut namamu. 	 سمڤاي كڤڠهوجوڠ اوسياڽ، دي ماسيه مڽبوت-ڽبوت ناممو.
Hatta ketika dia menabalkan aku!  Alauddin menggeleng. 	 حتى كتيک دي منابلكن اكو!  علاءالدين مڠڬيليڠ.
Hakikatnya, ayahanda menguji kita sebelum membuat keputusan menghantar aku kepada guruku. 	 حقيقتڽ، ايهندا مڠوجي كيت سبلوم ممبوات كڤوتوسن مڠهنتر اكو كڤد ڬوروكو.
Dia memandang Alauddin. 	 دي ممندڠ علاءالدين.
Kerana aku melepasi ujian itu, maka aku dihantar bertapa bersama Adiwaja. 	 كران اكو ملڤسي اوجين ايت، مک اكو دهنتر برتاڤ برسام اديواج.
Ketika engkau lahir dan membesar, beberapa tahun kemudian, sekali lagi ayahanda melakukan ujian yang sama kepadamu. 	 كتيک اڠكاو لاهير دان ممبسر، ببراڤ تاهون كمودين، سكالي لاڬي ايهندا ملاكوكن اوجين يڠ سام كڤدمو.
Tetapi engkau lebih menggemari hidup berseronok. 	 تتاڤي اڠكاو لبيه مڠڬمري هيدوڤ برسرونوق.
Engkau mengabaikan didikan ayahanda, dan kerap melarikan diri ke Indera Kayangan mencari hiburan. 	 اڠكاو مڠابايكن ديديقن ايهندا، دان كرڤ ملاريكن ديري كإيندرا كايڠن منچاري هيبورن.
