A. 	 ا.
Adiwaja kehilangan kedua-dua belah mata dan tangan dalam pertarungan yang amat sengit itu. 	 اديواج كهيلڠن كدوا-دوا بله مات دان تاڠن دالم ڤرتاروڠن يڠ امت سڠيت ايت.
Bagaimana seseorang itu mahu mempamerkan syukur kepada Allah?  Ucapkanlah ‘Alhamdulillah’. 	 باڬايمان سسأورڠ ايت ماهو ممڤاميركن شكور كڤد الله؟  اوچڤكنله الحمد لله.
Dia mungkin akan ditewaskan atau lebih bahaya, terjebak menjadi sebahagian daripada musuh. 	 دي موڠكين اكن دتيواسكن اتاو لبيه بهاي، ترجبق منجادي سبهاڬين درڤد موسوه.
Melihat keadaan itu, Baginda Rasulullah menegurnya agar mengikat unta itu dan bertawakkal. 	 مليهت كأداءن ايت، بڬيندا رسول الله منڬورڽ اڬر مڠيكت اونتا ايت دان برتوكل.
Buat pertama kali dalam hidupnya, dia melihat Adiwaja dalam kesedihan yang teramat sangat. 	 بوات ڤرتام كالي دالم هيدوڤڽ، دي مليهت اديواج دالم كسديهن يڠ ترامت ساڠت.
Cahaya-cahaya indah pula datang dari tumbuhan-tumbuhan yang tidak mereka ketahui jenisnya. 	 چهاي٢ اينده ڤولا داتڠ دري تومبوهن٢ يڠ تيدق مريک كتاهوءي جنيسڽ.
Malah, lebihan perbendaharaan kerajaan bertambah semenjak beberapa tahun kebelakangan ini. 	 ماله، لبيهن ڤربنداهارا‌‌‌‌ءن كراجاءن برتمبه سمنجق ببراڤ تاهون كبلاكڠن اين.
Ada banyak masa, penegakan kebenaran perlukan sentuhan insani, kebijaksanaan, penyampaian. 	 اد باڽق ماس، ڤنڬقن كبنرن ڤرلوكن سنتوهن انساني، كبيجقساناءن، ڤڽامڤاين.
Tidakkah kita telah mencapai keputusan? Kalian uruskan sempadan, aku uruskan hajat tuanku. 	 تيدقكه كيت تله منچاڤاي كڤوتوسن؟ كالين اوروسكن سمڤادن، اكو اوروسكن حاجة توانكو.
Bicara itu hinggap ke telinga mereka, tetapi mereka bertiga tidak memberikan tindak balas. 	 بيچارا ايت هيڠڬڤ كتليڠا مريک، تتاڤي مريک برتيݢ تيدق ممبريكن تيندق بالس.
Daripada bunyi yang sampai ke telinga, dia tahu bahawa serangannya tidak mengenai sasaran. 	 درڤد بوڽي يڠ سمڤاي كتليڠا، دي تاهو بهاوا سرڠنڽ تيدق مڠناءي ساسرن.
Semasa kecil, aku melihat pendekar-pendekar Semutar Putih menguasai pelbagai pencak silat. 	 سماس كچيل، اكو مليهت ڤنديكر٢ سموتر ڤوتيه مڠواساءي ڤلباڬاي ڤنچق سيلت.
Apatah lagi salah satu temannya ialah seorang perempuan, yang kecantikannya mengusik hati. 	 اڤاته لاڬي ساله ساتو تمنڽ اياله سأورڠ ڤرمڤوان، يڠ كچنتيقكنڽ مڠوسيق هاتي.
Berani engkau meluncurkan perkataan seberat itu kepadaku, budak!  Berani kerana aku benar. 	 براني اڠكاو ملونچوركن ڤركاتاءن سبرت ايت كڤدكو، بودق!  براني كران اكو بنر.
Namun, Alauddin pantas memutarkan tubuh, sambil membawa satu sepakan laju ke arah Nirnama. 	 نامون، علاءالدين ڤانتس مموتركن توبوه، سمبيل ممباوا ساتو سيڤقن لاجو كأره نيرنام.
Kemudian, pinggangnya berputar dan tubuh Alauddin dicampak terpelanting ke atas pintu gua. 	 كمودين، ڤيڠڬڠڽ برڤوتر دان توبوه علاءالدين دچمڤق ترڤلنتيڠ كأتس ڤينتو ڬوا.
Berambus!   Alauddin terus memasuki gua tanpa berpaling ke arah adinda seperguruannya itu. 	 برمبوس!  علاءالدين تروس مماسوقي ڬوا تنڤا برڤاليڠ كأره اديندا سڤرڬوروانڽ ايت.
Hanya jiwa yang bersih tanpa karat hati akan mampu menerima hakikat tersebut dengan yakin. 	 هاڽ جيوا يڠ برسيه تنڤا كارات هاتي اكن ممڤو منريما حقيقة ترسبوت دڠن يقين.
Apakah kuasa itu sudah sirna sehingga daku mampu menjejakimu sekarang?  Tidak sama sekali. 	 اڤاكه كواس ايت سوده سيرنا سهيڠݢ داكو ممڤو منججقيمو سكارڠ؟  تيدق سام سكالي.
Bahkan, Dia tidak perlu berada di mana-mana secara zat pun untuk membantu hamba-hamba-Nya. 	 بهكن، دي تيدق ڤرلو براد دمان-مان سچارا ذات ڤون اونتوق ممبنتو همبا-همباڽ.
Terus tubuh Sang Kelembai dibanting ke tanah, mengakibatkan tanah itu meretak dan melekuk. 	 تروس توبوه سڠ كلمباي دبنتيڠ كتانه، مڠعاقبتكن تانه ايت مرتق دان ملكوق.
Jadi, cukup sekadar memejamkan mata dan bergantung kepada deria?  Bergantung kepada Allah. 	 جادي، چوكوڤ سقدر ممجمکن مات دان برڬنتوڠ كڤد دريا؟  برڬنتوڠ كڤد الله.
Tetapi apa yang engkau lakukan adalah dengan ke mari, bersyarah kepadaku, Laksamana Jebat. 	 تتاڤي اڤ يڠ اڠكاو لاكوكن اداله دڠن كماري، برشرح كڤدكو، لقسامان جبت.
Dua lengan baju panjang berkibaran, menandakan insan itu kudung kedua-dua belah tangannya. 	 دوا لڠن باجو ڤنجڠ بركيبرن، مننداكن انسان ايت كودوڠ كدوا-دوا بله تاڠنڽ.
Bagaimana aku  mampu pulang bertemu Allah kelak?  Sultan Mahmud benar-benar hilang bicara. 	 باڬايمان اكو ممڤو ڤولڠ برتمو الله كلق؟  سلطان محمود بنر٢ هيلڠ بيچارا.
Tambahan pula, tanpa takhta, dia tidak akan dilihat setanding dengan Puteri Gunung Ledang. 	 تمبهن ڤولا، تنڤا تختا، دي تيدق اكن دليهت ستانديڠ دڠن ڤوتري ڬونوڠ ليدڠ.
Mereka berkubu di atas bukit berhampiran, bagi memudahkan usaha melihat perjalanan perang. 	 مريک بركوبو دأتس بوكيت برهمڤيرن، باڬي ممودهكن اوسها مليهت ڤرجالنن ڤرڠ.
Dengan kehadiran Alauddin, bertarung dengan Nirnama seorang diri nyata bukan urusan mudah. 	 دڠن كحاضيرن علاءالدين، برتاروڠ دڠن نيرنام سأورڠ ديري ڽات بوكن اوروسن موده.
Orang tua itu sedang melilit leher Puteri Gunung Ledang dengan dua lengan panjang bajunya. 	 اورڠ توا ايت سدڠ مليليت ليهير ڤوتري ڬونوڠ ليدڠ دڠن دوا لڠن ڤنجڠ باجوڽ.
Ampun, tuanku! Seluruh tentera Semutar Putih di sekeliling mereka turut mengangkat sembah. 	 امڤون، توانكو! سلوروه تنترا سموتر ڤوتيه دسكليليڠ مريک توروت مڠڠكت سمبه.
Kasturi menoleh ke belakang, memandang tentera Semutar Putih yang masih berkumpul di situ. 	 كستوري منوليه كبلاكڠ، ممندڠ تنترا سموتر ڤوتيه يڠ ماسيه بركومڤول دسيتو.
Jebat dan Alauddin terus memimpin tentera Semutar Putih menentang pasukan Indera Kayangan. 	 جبت دان علاءالدين تروس مميمڤين تنترا سموتر ڤوتيه مننتڠ ڤاسوقن ايندرا كايڠن.
Adalah wajar seseorang yang mempunyai perasaan terhadap seseorang yang lain, meluahkannya. 	 اداله واجر سسأورڠ يڠ ممڤوڽاءي ڤراسان ترهادڤ سسأورڠ يڠ لاءين، ملواهكنڽ.
Pandangan kemudian jatuh kepada Cendana yang sedang berbual mesra dengan Puteri Sejinjang. 	 ڤندڠن كمودين جاتوه كڤد چندانا يڠ سدڠ بربوال مسرا دڠن ڤوتري سجينجڠ.
Keadaan tidak memberikan kelebihan buat kita! Nujum Surya sudah berada di sisi Jagat Suci. 	 كأداءن تيدق ممبريكن كلبيهن بوات كيت! نجوم سوريا سوده براد د سيسي جاڬت سوچي.
Dari kejauhan, Tun Nirmala, Nadim dan Jenin dilihat sedang menunggang kuda ke arah mereka. 	 دري كجاءوهن، تون نيرمالا، نديم دان جنين دليهت سدڠ منوڠڬڠ كودا كأره مريک.
Jambatan-jambatan itu saling bersilangan, memandangkan banyak pokok berkeadaan sedemikian. 	 جمبتن٢ ايت ساليڠ برسيلڠن، ممندڠكن باڽق ڤوكوق بركأداءن سدميكين.
Kali ini, dia berhadapan dengan sekumpulan lelaki berpakaian persis lelaki di belakangnya. 	 كالي اين، دي برهادڤن دڠن سكومڤولن للاكي برڤاكاين  ڤرسيس للاكي دبلاكڠڽ.
Mengangguk perlahan sambil matanya tepat memandang lelaki yang sedang bersemayam tersebut. 	 مڠڠڬوق ڤرلاهن سمبيل ماتڽ تڤت ممندڠ للاكي يڠ سدڠ برسمايم ترسبوت.
Jika tidak kerana kita berada di tengah-tengah istana musuh, aku sudah hentikan semua ini. 	 جک تيدق كران كيت براد دتڠه-تڠه ايستان موسوه، اكو سوده هنتيكن سموا اين.
Tuanku sudah kaya-raya dan mempunyai segala harta yang tidak luak dimakan tujuh keturunan. 	 توانكو سوده كاي-راي دان ممڤوڽاءي سڬالا هرتا يڠ تيدق لواک دماكن توجوه كتورونن.
Raja Ong Maha Perita Deria menalakan ankus ke arah Nadim, membuatkan remaja itu tersentak. 	 راج اوڠ مها ڤريتا دريا منالاكن انكوس كأره نديم، ممبواتكن رماج ايت ترسنتق.
Pun begitu, kawasan tangga di sekitar Nirnama menerima tempiasnya, habis roboh dan hancur. 	 ڤون بڬيتو، كاوسن تڠݢ دسكيتر نيرنام منريما تمڤياسڽ، هابيس روبوه دان هنچور.
Kepenatan meronda keadaan para tentera kita, sehingga aku terlupa hendak menjamah makanan. 	 كڤنتن مروندا كأداءن ڤارا تنترا كيت، سهيڠݢ اكو ترلوڤ هندق منجامه ماكنن.
Zulmat malam yang diterangi remang-remang cahaya unggunan api kembali menyelimuti suasana. 	 ظلمة مالم يڠ دتراڠي رماڠ٢ چهاي اوڠڬونان اڤي كمبالي مڽليموتي سواسان.
Jagat Suci meraung sambil mengangkat tangan kanannya yang kini kekurangan dua batang jari. 	 جاڬت سوچي مراءوڠ سمبيل مڠڠكت تاڠن كاننڽ يڠ كيني ككوراڠن دوا باتڠ جاري.
Keadaan itu menyebabkan perhatiannya terlucut daripada mengekori gerak-geri Sang Kelembai. 	 كأداءن ايت مڽببكن ڤرهاتينڽ ترلوچوت درڤد مڠيكوري ڬرق-ڬري سڠ كلمباي.
Engkau hanya terlepas daripada pemerhatianku semenjak engkau tiba ke Pelabuhan Batu Sawar. 	 اڠكاوهاڽ ترلڤس درڤد ڤمرهاتينكو سمنجق اڠكاو تيبا كڤلابوهن باتوساور.
Tolong aku, tolong aku! Nujum Surya sedar bahawa dia tidak lagi dapat mempertahankan diri. 	 تولوڠ اكو، تولوڠ اكو! نجوم سوريا سدر بهاوا دي تيدق لاڬي داڤت ممڤرتاهنكن ديري.
Bertahan, Nirnama!  Kasturi mengubah tumpuan kepada keadaan sekeliling yang paling hampir. 	 برتاهن، نيرنام!  كستوري مڠوبه تومڤوان كڤد كأداءن سكليليڠ يڠ ڤاليڠ همڤير.
Yang sedang enak menjamu selera juga mencicip minuman di warung-warung, memalingkan kepala. 	 يڠ سدڠ اينق منجامو سليرا جوݢ منچيچيڤ مينومن دواروڠ-واروڠ، مماليڠكن كڤالا.
Pertarungan engkau dengan Ratu Mergastua, Cenderawasih Utama, Harimau Hitam, Beruang Petir. 	 ڤرتاروڠن اڠكاو دڠن راتو مرڬستوا، چندراواسيه اوتام، هريماو هيتم، برواڠ ڤتير.
Sungguhpun begitu, satu persatu penguasa kawasan Wilayah Ujong tumbang pada tangan Nirnama. 	 سوڠڬوهڤون بڬيتو، ساتو ڤرساتو ڤڠواسا كاوسن ولايه اوجوڠ تومبڠ ڤد تاڠن نيرنام.
Suasana yang tenang disimbahi remang cahaya api, bertukar gelita dalam sederu nafas sahaja. 	 سواسان يڠ تنڠ دسيمبهي رماڠ چهاي اڤي، برتوكر ڬليتا دالم سدرو نفس سهاج.
Pendekar yang terduduk di bawah pokok besar itu galak ketawa sambil perlahan-lahan bangkit. 	 ڤنديكر يڠ تردودوق دباوه ڤوكوق بسر ايت ڬالق كتاوا سمبيل ڤرلاهن-لاهن بڠكيت.
Nadim sahaja dihujani seribu satu soalan berkenaan benda itu, tetapi memilih untuk membisu. 	 نديم سهاج دهوجني سريبو ساتو سوءالن بركناءن بندا ايت، تتاڤي مميليه اونتوق ممبيسو.
Kelibat lelaki berparut itu menghilang diselindungi tubuh 40 orang berzirah sebahagian itu. 	 كليبت للاكي برڤاروت ايت مڠهيلڠ دسليندوڠي توبوه 40 اورڠ برزيراه سبهاڬين ايت.
Nadim cuba mengingatkan sebab utama mengapa Tanggang melayan mereka dengan baik selama ini. 	 نديم چوبا مڠيڠتكن سبب اوتام مڠاڤ تڠڬڠ ملاين مريک دڠن باءيق سلاما اين.
Sepanjang siang tadi, Nirnama membisu dan langsung tidak bersuara, kecuali untuk beribadah. 	 سڤنجڠ سياڠ تادي، نيرنام ممبيسو دان لڠسوڠ تيدق برسوارا، كچوالي اونتوق برعباده.
Tidak sempat mengelak, Nirnama menepis tendangan tersebut dengan kedua-dua belah tangannya. 	 تيدق سمڤت مڠيلق، نيرنام منڤيس تندڠن ترسبوت دڠن كدوا-دوا بله تاڠنڽ.
Laungan dan jeritan yang menggegak-gempita tadi, mati serta-merta bagaikan disambar garuda. 	 لاءوڠن دان جريتن يڠ مڠڬڬق-ڬمڤيتا تادي، ماتي سرتا-مرتا باڬايكن دسمبر ڬارودا.
Dia berpusing bagaikan mencari sesuatu, sehinggalah dia menghadap arah yang dikehendakinya. 	 دي برڤوسيڠ باڬايكن منچاري سسواتو، سهيڠڬله دي مڠهادڤ اره يڠ دكهندقيڽ.
Cendana bersuara, menarik kembali perhatian Nadim untuk memerhatikan pendekar berparut itu. 	 چندانا برسوارا، مناريق كمبالي ڤرهاتين نديم اونتوق ممرهاتيكن ڤنديكر برڤاروت ايت.
Ingatlah bahawanya kita akan mati dan dibangkitkan pada hari kiamat kelak di hadapan Allah. 	 ايڠتله بهاواڽ كيت اكن ماتي دان دبڠكيتكن ڤد هاري قيامة كلق دهادڤن الله.
Nirnama menghentikan langkahan, membuatkan Nadim dan Cendana turut melakukan hal yang sama. 	 نيرنام مڠهنتيكن لڠكهن، ممبواتكن نديم دان چندانا توروت ملاكوكن حال يڠ سام.
Dari tempat mereka berada, mulai kelihatan di balik rimbunan dedaunan, sebuah perkampungan. 	 دري تمڤت مريک براد، مولاءي كليهتن دباليق ريمبونن دداونن، سبواه ڤركامڤوڠن.
Ada yang datang untuk menyembah Jagat Suci, kerana lelaki itu sudah dianggap sebagai Tuhan. 	 اد يڠ داتڠ اونتوق مڽمبه جاڬت سوچي، كران للاكي ايت سوده دأڠڬڤ سباڬاي توهن.
Apakah Raja Bertiga masih bersamamu? Jagat Suci memandang tajam ke arah bulatan berapi itu. 	 اڤاكه راج برتيݢ ماسيه برساممو؟ جاڬت سوچي ممندڠ تاجم كأره بولتن براڤي ايت.
Manakala dia, dia merupakan pengamal sihir durjana dengan kehebatan yang hampir tiada tara. 	 مانكالا دي، دي مروڤاكن ڤڠعمل سيحير دورجان دڠن كهيبتن يڠ همڤير تياد تارا.
Pandangannya masih setajam helang, bagai mahu benar-benar menusuk tengkorak kepala Nirnama. 	 ڤندڠنڽ ماسيه ستاجم هلاڠ، باڬاي ماهو بنر٢ منوسوق تڠكورق كڤالا نيرنام.
Matanya menangkap susuk dua orang dewasa tadi yang sedang berenang-renang ke tebing sungai. 	 ماتڽ منڠكڤ سوسوق دوا اورڠ ديواس تادي يڠ سدڠ برنڠ-رنڠ كتبيڠ سوڠاي.
Apabila Nirnama mendarat, dia pantas berguling ke kiri merapatkan diri dengan lawan ketiga. 	 اڤابيلا نيرنام مندارت، دي ڤانتس برڬوليڠ ككيري مراڤتكن ديري دڠن لاون كتيݢ.
Nirnama, aku yakin mampu bergerak dengan lincah, dan tuanku puteri akan selamat bersamanya. 	 نيرنام، اكو يقين ممڤو برڬرق دڠن لينچه، دان توانكو ڤوتري اكن سلامت برسامڽ.
Nirnama tidak memandang dua orang perempuan di belakangnya atau menyertai perbualan mereka. 	 نيرنام تيدق ممندڠ دوا اورڠ ڤرمڤوان دبلاكڠڽ اتاو مڽرتاءي ڤربوالن مريک.
